Date,Headline,Link
2022-04-12,"Russian forces left bombs, death and destruction around Kyiv. Now, a painstaking demining operation is underway",https://www.cnn.com/2022/04/11/europe/ukraine-demining-russian-bombs-intl/index.html
2022-04-12,Opinion: How Russians born in the 1990s became Putin’s soldiers,https://www.cnn.com/2022/04/12/opinions/russians-view-putin-post-soviet-journalism-kucher/index.html
2022-04-12,Opinion: Should scientists cut ties with Russian colleagues over Ukraine?,https://www.cnn.com/2022/04/12/opinions/russian-scientists-ukraine-invasion-lincoln/index.html
2022-04-12,Why Russian TV propaganda is crucial to understanding the war in Ukraine,https://www.cnn.com/2022/04/12/media/russian-tv-propaganda-reliable-sources/index.html
2022-04-12,"Ukraine’s prosecutor general says office is investigating 5,800 cases of Russian war crimes",https://www.cnn.com/2022/04/11/politics/iryna-venediktova-ukraine-russia-war-crimes-cnntv/index.html
2022-04-12,Opinion: How the US can make Russia pay Ukrainians for destroying their country,https://www.cnn.com/2022/04/11/opinions/ukraine-russia-monetary-damages-legislation/index.html
2022-04-11,Austria’s leader says his face-to-face meeting with Putin was ‘not a friendly visit’,https://www.cnn.com/2022/04/11/europe/austria-nehammer-putin-meeting-russia-ukraine-intl/index.html
2022-04-11,France’s Societe Generale sells Russian bank to oligarch Vladimir Potanin,https://www.cnn.com/2022/04/11/business/societe-generale-rosbank-russia-potanin/index.html
2022-04-11,US assesses Putin may increase efforts to interfere with US elections,https://www.cnn.com/2022/04/11/politics/us-russia-election-interference/index.html
2022-04-11,"Russia has defaulted on its foreign debt, says S&P",https://www.cnn.com/2022/04/11/investing/russia-default-sp/index.html
2022-04-11,The West plans to increase its military aid to Ukraine with Russia planning its next big assault,https://www.cnn.com/2022/04/11/politics/russia-ukraine-war-next-phase/index.html
2022-04-11,Commerce department restricts technology and software exports to Russia,https://www.cnn.com/2022/04/09/business/commerce-department-russia-sanction-tech/index.html
2022-04-11,Banks are making big money off of Russian debt,https://www.cnn.com/2022/04/09/investing/russia-debt-wall-street-billions/index.html
2022-04-11,Russia has appointed a new general for Ukraine. Can Moscow reboot its war in time for Putin to claim a victory?,https://www.cnn.com/2022/04/11/europe/ukraine-donbas-battle-russia-cmd-intl/index.html
2022-04-11,Opinion: Seeing the world through Putin’s eyes,https://www.cnn.com/2022/04/11/opinions/understanding-putin-worldview-london/index.html
2022-04-11,World’s most powerful passport list impacted by Ukraine conflict,https://www.cnn.com/travel/article/henley-index-world-best-passport-2022/index.html
2022-04-11,"April 10, 2022 Russia-Ukraine news",https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-04-10-22/index.html
2022-04-09,"Finland and Sweden could soon join NATO, prompted by Russian war in Ukraine",https://www.cnn.com/2022/04/08/politics/finland-sweden-nato-membership/index.html
2022-04-09,Biden signs sanctions bills targeting Russian oil and trade with Russia and Belarus,https://www.cnn.com/2022/04/08/politics/biden-signs-russia-sanctions/index.html
2022-04-08,Europe turns its back on Russian coal. Is oil next?,https://www.cnn.com/2022/04/08/business/russia-coal-eu-oil/index.html
2022-04-08,Opinion: Obama’s stunning blind spot on Russia,https://www.cnn.com/2022/04/08/opinions/barack-obama-russia-revisionism-cupp/index.html
2022-04-08,Russia’s Rusal calls for an investigation into Bucha ‘crime’,https://www.cnn.com/2022/04/08/business/rusal-bucha-crime-investigation/index.html
2022-04-08,US readies for long-term European security ramp-up after Russia’s invasion,https://www.cnn.com/2022/04/08/politics/us-bases-europe-nato-russia-ukraine/index.html
2022-04-08,Opinion: Why sanctions won’t deter Putin,https://www.cnn.com/2022/04/07/opinions/us-sanctions-russia-putin-bergen/index.html
2022-04-08,Why Russia might struggle to maintain its digital iron curtain,https://www.cnn.com/2022/04/07/tech/russia-digital-iron-curtain-rossgram-challenges/index.html
2022-04-08,"Russian troops discussed killing Ukrainian civilians in radio transmissions intercepted by Germany, source says",https://www.cnn.com/2022/04/07/europe/ukraine-russian-intercepts-killing-civilians-germany-intl/index.html
2022-04-08,"Opinion: The UN is flawed, and Russia’s war on Ukraine is exposing all of its imperfections",https://www.cnn.com/2022/04/07/opinions/russia-ukraine-united-nations-flaws-ghitis/index.html
2022-04-08,A Ukrainian mother had plans to change her life this year. Russian forces shot her as she cycled home.,https://www.cnn.com/2022/04/07/europe/ukraine-mother-shot-russian-forces-bucha-intl-cmd/index.html
2022-04-08,"One tragic Ukraine story told with drones, satellites and social media",https://www.cnn.com/2022/04/07/politics/russia-ukraine-digital-technology-what-matters/index.html
2022-04-07,"Russia or die: After weeks under Putin’s bombs, these Ukrainians were given only one way out",https://www.cnn.com/2022/04/07/europe/ukraine-mariupol-russia-deportation-cmd-intl/index.html
2022-04-07,Congress passes bills to suspend trade relations with and ban energy imports from Russia,https://www.cnn.com/2022/04/07/politics/congress-russia-ukraine-bipartisan-putin/index.html
